query_id,candidate_id,query_text,query_language,project_title,client,country,sector,offerings,service_nature,evidence_excerpt,source_document,source_page,citation_label,relevance_0_1_2,wrong_evidence_chunk_yes_no,failure_category,evidence_notes,reviewer_id,reviewed_at
TECH-FR-001,TECH-FR-001-C01,Références de plan de continuité d’activité pour une banque,fr,Cadrage d’un plan de continuité d’activité - Elaboration de la cartographie des activités métiers - Identification des besoins de continuité - Evaluation de la criticité des processus métiers et support - Elaboration…,Comar assurances,Tunisie,Assurance,PCA/PCI,Cadrage d’un plan de continuité d’activité - Elaboration de la cartographie des activités métiers - Identification des besoins de continuité - Evaluation de la criticité des processus métiers et support - Elaboration et analyse de l’état des lieux - Cartographie et analyse des risques,atteste par la présente que la société DEVOTEAM a réalisé pour le compte des sociétés COMAR & HAYETT une mission de cadrage du plan de continuité d'activités (PCA). Le projet a été piloté par Monsieur Mohamed Ben Messaoud.…,Cadrage PCA COMAR 2020 (1).pdf,1,Cadrage PCA COMAR 2020 (1).pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C02,Références de plan de continuité d’activité pour une banque,fr,"Plan de Continuité d’Activité Mission de développement, d’élaboration et de mis en place : Phase 1: processus de gestion des risques en sécurité de l’information traité par le système d’information de l’OACA Phase 2:…",Office de l'aviation civile et des Aéroports (OACA),Tunisie,Entreprise Pub,PCA/PCI,"Plan de Continuité d’Activité Mission de développement, d’élaboration et de mis en place : Phase 1: processus de gestion des risques en sécurité de l’information traité par le système d’information de l’OACA Phase 2: processus de gestion de la continuité d’activité du système d’information de l’OACA","atteste par la présente que la société DEVOTEAM à réalisé pour le compte de V'OACA une mission de développement, d'élaboration et de mise en place des :
- Processus de Gestion du Risque en Sécurité de l'information traitée par le Systeme d'information de l'QACA au sens dela norme ISO 27005 ;
- Processus de Gestion du Plan de Continuité d'Activité du Système d'Information de l'OACA au sens de la norme [PHONE_LIKE] Cette mission a été pilotée par Monsieur Mohamed Ben Messaoud, Les consultants ayant participé aux différentes phases du projet sont :
- Mr. Melek Dekhil
- Mr. Ahmed Harsi
- Mr. Sami Haboubl il y'a leu de signaler que les prestations de ladite société ont été réalisées conformément…",Attestation OACA Mission PCA 2018 (1).pdf,1,Attestation OACA Mission PCA 2018 (1).pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C03,Références de plan de continuité d’activité pour une banque,fr,Mise en place du Plan de Continuité d’Activité Cadrage d’un plan de continuité d’activité - Etude des besoins de continuité - Analyse des risques majeurs - Etude de choix technico-économiques - Feuille de route de mis…,MAE Assurance,Tunisie,Assurance,PCA/PCI,Mise en place du Plan de Continuité d’Activité Cadrage d’un plan de continuité d’activité - Etude des besoins de continuité - Analyse des risques majeurs - Etude de choix technico-économiques - Feuille de route de mise en œuvre,atteste par la présente que la société DEVOTEAM a réalisé pour le compte de MAE le projet d’accompagnement au cadrage du plan de continuité d’activité. Devoteam nous a accompagné durant la période de Janvier 2019 a Juillet 2019.…,Attestation Cadrage PCA MAE 2019 (1).pdf,1,Attestation Cadrage PCA MAE 2019 (1).pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C04,Références de plan de continuité d’activité pour une banque,fr,Plan de Continuité d’Activité Plan de Continuité d’Activité Etude des besoins de continuité Analyse des risques majeurs Pilotage de la mise en place du site de repli collaborateurs Pilotage de la mise en place du site…,Banque de l’Habitat Tunisie | BH,Tunisie,Banque,PCA/PCI,"Plan de Continuité d’Activité Plan de Continuité d’Activité Etude des besoins de continuité Analyse des risques majeurs Pilotage de la mise en place du site de repli collaborateurs Pilotage de la mise en place du site de secours informatique Formalisation des procédures de continuité métier Formalisation du Plan de Secours Informatique Formalisation des procédures de reprise transversales (IT, Services Généraux, RH, ...) Tests de crise et de PCA","Objet du contrat Par la signature du présent contrat, le Prestataire consent à réaliser pour le compte de la Banque de l'Habitat une mission d’étude et de mise en place d’un Plan de Continuité d'Activité couvrant l’ensemble des domaines de ces activités. Cette mission à pour objectifs de : et de redémarrage associés en cas de 5 Marché C.A.S.P 01/2017 sinistre.…",Contrat BH PCA 2017.pdf,1,Contrat BH PCA 2017.pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C05,Références de plan de continuité d’activité pour une banque,fr,Mise en place du plan de secours informatique Préparation et Mise en place des solutions de secours Formalisation du PRA appui à la formalisation des procédures d’alertes et prise en charge de sinistre Elaboration d’u…,Albaraka Bank,Tunisie,Banque,PCA/PCI,Mise en place du plan de secours informatique Préparation et Mise en place des solutions de secours Formalisation du PRA appui à la formalisation des procédures d’alertes et prise en charge de sinistre Elaboration d’un plan de test et réalisation des premiers tests Organisation de maintien en condition opérationnelle,Le présent contrat a pour objet l’exécution des prestations relatives à l’élaboration du plan de continuité d’activité d’AI Baraka Banque conformément à la norme ISO 22301 qui décrit les exigences liées à la mise en place du système de management de la continuité d’activité ainsi que des prestations de conseils. ARTICLE 2.…,Contrat Al Baraka PCA (1).pdf,1,Contrat Al Baraka PCA (1).pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C06,Références de plan de continuité d’activité pour une banque,fr,Mise en œuvre d’un Plan de Continuité d’Activité (PCA) - Etude des besoins de continuité - Analyse des risques majeurs - Etude de choix technico-économiques - Feuille de route de mise en œuvre - Pilotage de la mise en…,STAR Assurance,Tunisie,Assurance,PCA/PCI,Mise en œuvre d’un Plan de Continuité d’Activité (PCA) - Etude des besoins de continuité - Analyse des risques majeurs - Etude de choix technico-économiques - Feuille de route de mise en œuvre - Pilotage de la mise en place du site de repli collaborateurs - Pilotage de la mise en place du site de secours informatique - Formalisation des procédures de continuité métier,"atteste par la présente que la société DEVOTEAM a realise pour le compte de la STAR, les travaux de Mise en œuvre de son Plan de Continuité d'Activité, couvrant : Le lancement du projet ; La mise en place du PCA © Préparation et pilotage de la mise en place des solutions de secours, o Formallsation des plans transvérsaux ; co Hédaction des procédures métiers : o Formation et sensibihsation ; La réalisation des tests et l'organisation du MCC.…",Attestation de PCA STAR 2016 .pdf,1,Attestation de PCA STAR 2016 .pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C07,Références de plan de continuité d’activité pour une banque,fr,Plan de Continuité d’Activité Expression des besoins de continuité d’activité Analyse des risques majeurs Stratégie de continuité d’activité des métiers et du SI Définition du dispositif de gestion de crise Formalisat…,"Banque Nationale Agricole, BNA",Tunisie,Banque,PCA/PCI,Plan de Continuité d’Activité Expression des besoins de continuité d’activité Analyse des risques majeurs Stratégie de continuité d’activité des métiers et du SI Définition du dispositif de gestion de crise Formalisation du PCA et élaboration d’un plan du test,"atteste par la présente que la Société DEVOTEAM a réalisé pour notre compte des travaux de cadrage de Plan de Continuité d'Activité, courant [PHONE_LIKE], couvrant: L’expression des Besoins métier ;
- L?analyse des risques conformément à l’ISO 27005 ;
- La définition de la stratégie de continuité de trois ans ;
- La formalisation de dispositif de gestion de crise. Cette étude a été pilotée par Mr Tarek AKROUT.…",BNA_Attestation de Référence_Accompagnement PCA.pdf,1,BNA_Attestation de Référence_Accompagnement PCA.pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C08,Références de plan de continuité d’activité pour une banque,fr,Elaboration et mise en place du plan de continuité d’activité PCA Compréhension du contexte et diagnostic de l’existant : Identification du périmètre préliminaire Diagnostic de l’existant et analyses des écarts Planif…,Banque Zitouna,Tunisie,Banque,PCA/PCI,Elaboration et mise en place du plan de continuité d’activité PCA Compréhension du contexte et diagnostic de l’existant : Identification du périmètre préliminaire Diagnostic de l’existant et analyses des écarts Planification du SMCA Recueil des besoins de continuité d’activité Analyse et appréciation des risques Elaboration de la politique de continuité d’activité et de reprise d’activité Elaboration de la stratégie de continuité d’activité Evaluation des performances des procédures de continuité des activités Elaboration d’un plan de test et réalisation des premiers tests Organisation de maintien en condition opérationnelle Formalisation et sensibilisation du personnel sur la continuité d’activité,"Article 1 : OBJET DU CONTRAT En vertu du présent contrat, le prestataire s'engage à réaliser une mission l'élaboration du Plan de Continuité d'Activité (PCA) et ce, selon les termes et conditions ci-après. Article 2 : DOCUMENTS CONTRACTUELS Les documents contractuels traduisant l’accord des deux parties et faisant partie intégrante du présent contrat sont les suivants : — Le présent contrat.…",Contrat Zitouna  PCA .pdf,2,Contrat Zitouna  PCA .pdf — page 2,,,,,,
TECH-FR-001,TECH-FR-001-C09,Références de plan de continuité d’activité pour une banque,fr,Plan de Continuité d’Activité Etude des besoins de continuité Analyse des risques majeurs Pilotage de la mise en place du site de repli collaborateurs Pilotage de la mise en place du site de secours informatique Forma…,Office de la marine marchande et des ports (OMMP),Tunisie,Entreprise Pub,PCA/PCI,"Plan de Continuité d’Activité Etude des besoins de continuité Analyse des risques majeurs Pilotage de la mise en place du site de repli collaborateurs Pilotage de la mise en place du site de secours informatique Formalisation des procédures de continuité métier Formalisation du Plan de Secours Informatique Formalisation des procédures de reprise transversales (IT, Services Généraux, RH, ...) Tests de crise et de PCA","atteste par la présente que la société DEVOTEAM a réalisé pour le compte de l'Office de la Marine Marchande et des Ports le projet d'accompagnement à la mise en place du plan de continuité d'activité. Devoteam nous a accompagnés durant la période d'Octobre 2018 à Octobre
2019.…",Attestation de PCA OMMP 2019.pdf,1,Attestation de PCA OMMP 2019.pdf — page 1,,,,,,
TECH-FR-001,TECH-FR-001-C10,Références de plan de continuité d’activité pour une banque,fr,"Assistance Audit Réglementaire Etape 1 Cadrage et lancement de la mission Cadrage de la mission, validation des objectifs et du périmètre • Examen des détails logistiques nécessaires • Présentation du plan d’assistanc…",ENDA CASH,Tunisie,Régie Financière,PCA/PCI,"Assistance Audit Réglementaire Etape 1 Cadrage et lancement de la mission Cadrage de la mission, validation des objectifs et du périmètre • Examen des détails logistiques nécessaires • Présentation du plan d’assistance Etape 2 Assistance à l’audit organisationnel et physique Etude documentaire, réalisation d’entretiens et visites sur site • Analyse des écarts par rapport aux normes ISO 27K • Elaboration des politiques et procédures manquantes Etape 3 Assistance à l’audit technique • Vérification technique des vulnérabilités de chaque composant cible (Vulnerability Assessment) • Assistance à l’audit de configuration • Elaboration du plan d’actions Etape 4 Assistance à l’audit applicatif Assistance à la réalisation de l’audit applicatif • Elaboration du plan d’actions","atteste par la présente que la société DEVOTEAM a réalisé pour le compte de Enda CASH le projet d’assistance a la mise en ceuvre d’un plan de continuité d’activité (PCA). Ce projet a été piloté par Mr. Sami BENHAJ Les consultants, ayant participé à l’élaboration du projet sont :
- Eya CHEIKH AMOR, Consultante senior IT
- Raoudha BLILI, Consultante IT.…",attestation-de-reference-enda-cash.pdf,1,attestation-de-reference-enda-cash.pdf — page 1,,,,,,
