repair_id,source_document_id,source_page,status,selected_strategy,selected_text_sha256,selected_character_count,selected_word_count,selected_quality_pass_rate,selected_mean_quality_score,selected_ocr_confidence,required_human_follow_up
V2-REPAIR-001,18r0QL1RxoXIs-fx6q8pwdjgHXPPVzw9D,1,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_threshold_psm6,9917aeac22375ce45f66ec348330b407b674bfa7d202db4ce083fbfda682d1fc,1039,175,1.0,0.978724,86.406977,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-002,12Z0Rux2KvL9GX-cQYHXvru8g1nF4MsC2,1,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_gray_autocontrast_psm3,80124eb0cc982f90007a448ed39566358f6d61deacecf4244224170c167e67ad,895,159,1.0,0.979623,91.298701,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-003,1sgAc96hguNzRPhG3-eKF9NYzs3uvYrjr,1,REPAIRED_WITH_LAYOUT_NORMALIZATION_PENDING_HUMAN_FOLLOW_UP,ocr_latin_dominant_fra_eng_psm3,0cf12d486630efdc0f5e6acb9809a398a92f9a9c54512f062428f276ac6e1713,429,76,1.0,0.964174,81.012195,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-004,1KqIfRav47BU2AiOprNfWX45HKuSwCWkh,2,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_threshold_psm6,51035a8dd6c4c4c57f746c15c13f1ddecf2e8d863fae96a9887db618466ee46b,578,114,1.0,0.949014,68.638462,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-005,1KqIfRav47BU2AiOprNfWX45HKuSwCWkh,3,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_gray_autocontrast_psm3,5b5b3df2e899e809170db59a2e701dcc516dfb56f41464bb22eddd9a2624561d,1653,288,1.0,0.938292,91.79085,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-006,1KqIfRav47BU2AiOprNfWX45HKuSwCWkh,4,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_latin_dominant_fra_eng_psm3,8188effa7b041bdaaf7cdd014f933a0be829e2f6a89e1321474f0ce9926c7955,1796,295,1.0,0.988024,82.194631,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-007,18FkhkQWqnNaQdyn5DviVHZAVspGfvy_n,14,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_latin_dominant_fra_eng_psm3,41873b15f0294ad2e2dfd05769e80daf2527cb4d89d70e99d37ee2f8b416c43b,2587,404,1.0,0.942503,84.188725,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-008,1Xdpgr2VTsOTLw4W7P2uNID4SJnrOwDvc,2,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_latin_dominant_fra_eng_psm3,ee0f08e07e3ecc582578d0fbf186be2ffd6c2c139c7eddc9c067fa49ac725136,2193,363,1.0,0.976477,88.885714,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-009,1Z0Xj34r2HOSeI0BY35tCKQ8vspbcjbIO,11,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_gray_autocontrast_psm3,d3077b4e78895e6e434b1d2a0a211fd986db2d785b8c66a15fc405317e434aff,3146,586,1.0,0.933433,77.073345,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-010,1Rh0QTa2bVdQ_mjwWK0FDRMUcoa9hMo6L,4,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_gray_autocontrast_psm3,9d0dfe153a7070c4ffc0de2de7af11b9e37c44df8095189769aecb2defbaa1af,1316,242,1.0,0.976015,72.338843,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-011,1ON0dJL3WcgheEKQowjhBiLbAUSaq4oGG,12,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_gray_autocontrast_psm3,03ba39273002c82b6e7eda3cc954de05a0a41025d24469917c801098ad31cbfc,860,152,1.0,0.98448,90.463087,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-012,1lrqoN0Ca3ciBwE3dGGiILXPONKWwyM-o,1,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_gray_autocontrast_psm3,792e65c98881dfe9ac221d8dc781de50abbf7704326490150ec8fdee4f7ec4de,1175,215,1.0,0.961806,86.493088,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-013,1W9zVSEb6VA9w-sNbuU656eqesc0PpmYX,12,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_threshold_psm6,c1dded8e7966270b4ccc15c9302470f95fe6730f72ffb2a0561ea8312127a21c,2676,560,1.0,0.93476,43.401709,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-014,1Y00_IZEFBzWh2VtPl6ROFtEawHVXyJB-,14,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_latin_dominant_fra_eng_psm3,91d167693f46bd17071e3ca1821ce17550c73ebc9176779f8aee8034129184d0,1432,170,0.5,0.972355,71.453333,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-015,1Y00_IZEFBzWh2VtPl6ROFtEawHVXyJB-,23,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_threshold_psm6,81bd93e321eab3373c5f10469287e16d624abfc4b6f6fb54d9fbd5563dd1057d,10883,1934,1.0,0.974388,51.162901,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-016,1Y00_IZEFBzWh2VtPl6ROFtEawHVXyJB-,24,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_threshold_psm6,05d33fe950e1ca3294197a66ea61269b6b60df930e82089d10e75af2cbdbdd4e,14407,2643,1.0,0.965297,51.356064,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-017,1Y00_IZEFBzWh2VtPl6ROFtEawHVXyJB-,4,REPAIRED_WITH_LAYOUT_NORMALIZATION_PENDING_HUMAN_FOLLOW_UP,ocr_threshold_psm6,8d09dfb258ec3a131d7584b766332da3e68eb65948fa612d28274b7f34275ed9,705,142,1.0,0.928951,90.573913,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-018,1E3ipo7b2wDHt3w6ppVkgp4p20PCO4qjC,21,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_threshold_psm6,c0d12d332188131f3ab4b820f5be43b46081f82defa1caf756eb987897398e19,1758,321,1.0,0.970884,87.658462,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
V2-REPAIR-019,1-mlwDmE3-y5lr7V6_wqfinIM-Zx1Rifr,1,REPAIRED_PENDING_HUMAN_FOLLOW_UP,ocr_rgb_psm3,54d36e8ec3d1e1b2fee37161afb16ada8787420e65a16d0477c072530af9ae5a,910,153,1.0,0.971798,89.854305,YES_VERIFY_REPAIRED_TEXT_AND_LINEAGE
