"query_id","query_text","normalized_query_sha256","language","business_context","mandatory_filters_json","query_type","answerability","origin","not_derived_from_reference_corpus_yes_no","approved_for_development_yes_no","author_or_owner","notes","filter_source"
"DEV-001","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","f2ed95d52739b8040db2f26787369f6863e4bcd5828b3eacd492040ae8adeabc","fr","Banque; intégration et API management.","{}","answerable|direct|technology","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","API Gateway, sécurité, transfert de compétences. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-002","Nous devons auditer la maturité cybersécurité d’un établissement financier et préparer une feuille de route de mise en conformité ISO 27001.","a2781c5b27415810b85b53a4bec1345a8aa0229dece3a64dbdb0796cab4f1d6e","fr","Services financiers; audit organisationnel et technique de sécurité.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Inclut ISO 27001 sans imposer un client précis. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-003","Un ministère souhaite élaborer un schéma directeur des systèmes d’information avec diagnostic, architecture cible, portefeuille de projets et feuille de route pluriannuelle.","aa3b77ce1c87f59d5f05e156e70d7068b41c8241f8ac650e03ed63d3681a1a7d","fr","Secteur public; stratégie SI et urbanisation.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Scénario générique de SDSI. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-004","Une banque veut mettre en place un système de management de la continuité d’activité conforme à ISO 22301, avec BIA, analyse des risques et exercices de crise.","ef1b0c0187c5b65cd921df0933cd8d9707b8622485da17d133322cb4622d9c67","fr","Banque; continuité d’activité.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","BIA, PCA et ISO 22301. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-005","Une organisation panafricaine étudie la faisabilité de centres de données mutualisés et d’une offre cloud régionale.","d59ac83eb3132e1e77950411fddecb40170f6e74d35b5e959267ca45e1f0dcb4","fr","Infrastructure numérique régionale.","{}","answerable|cross_language_expected","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Une preuve en anglais ou en français est acceptable. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-006","Une banque centrale souhaite cartographier les traitements de données personnelles, réaliser des analyses d’impact et renforcer sa conformité au RGPD.","2ddff4743104bef26888da02d002a778cc34f0a40233d71b2b81ee0815ce3818","fr","Banque centrale; protection des données.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","RGPD et PIA sont des termes significatifs. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-007","Une administration lance plusieurs projets de dématérialisation et cherche une assistance PMO pour le pilotage, la qualité, les risques et la conduite du changement.","a7555d9cc19dffcf3893ab3b8f187f7bc20530b18f4d0c029bcfbc7b1f22dcae","fr","Administration électronique; pilotage de portefeuille.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","PMO et e-gouvernement. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-008","Une institution publique veut définir un référentiel de gouvernance des données et mettre en place une plateforme décisionnelle.","be78d49cba835258506853053c45ab13730b35a4636adb027c6ce84f5a0cca1e","fr","Data governance et business intelligence.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Recherche de références data et gouvernance. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-009","Une banque souhaite être accompagnée dans le choix puis la mise en œuvre d’un nouveau Core Banking System, y compris cahier des charges, dépouillement, recette et migration.","296b3a1c073457ae2629751018c99dcb71f87831c6c5b67c8aa4c39742e455f4","fr","Banque; sélection et mise en œuvre d’un CBS.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","CBS/Core Banking System. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-010","Une banque veut sélectionner et déployer une solution monétique, avec assistance au choix, paramétrage, recette et bascule.","d993b62ab71eda4387bea6d056375243240f2c5c14c00723abf9537f57c4cb01","fr","Banque; moyens de paiement.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Solution monétique. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-011","Un régulateur télécom prépare une stratégie nationale de migration vers IPv6 et souhaite analyser les impacts techniques, financiers et opérationnels.","ee39db26a53d61e553975a5279b9e78828020ae3a7278480b4a8efd7b9a79c0e","fr","Télécommunications; stratégie IPv6.","{}","answerable|direct|acronym_heavy","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","IPv6 doit rester un terme exact. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-012","Nous recherchons uniquement des références tunisiennes des cinq dernières années sur la cybersécurité ou la protection des données.","561815d2193cb90642100930e3d8fe59f1e43db0a8eeb43df8f7c58fc4920663","fr","Filtrage géographique et temporel.","{""country"":[""Tunisie""],""period"":{""preset"":""last_5_years""}}","answerable|filter_constrained","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Le filtre est obligatoire. Approved for development diagnostics only; not an official held-out or gold-set query.","OWNER_APPROVED_OVERRIDE"
"DEV-013","Une exploitation céréalière cherche un système de gestion de l’irrigation, des semences, des tracteurs et des rendements agricoles.","38641b8b6537d9274fc2b5526cecf032e01b94e63aa81f839cb5b7db0e98f5cf","fr","Agriculture opérationnelle.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Domaine volontairement hors portefeuille attendu. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-014","Un groupe hôtelier veut rénover ses chambres, concevoir les espaces intérieurs et optimiser les services de restauration.","7dfe6806a6364a57b64c9b1423e586af16acc1ce7b7373bdfd58467a5974364c","fr","Hôtellerie et architecture intérieure.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Domaine volontairement hors portefeuille attendu. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-015","Une société de production cherche une équipe pour réaliser un long métrage, gérer le casting, le tournage et la postproduction.","ffe3ded0677d809159ec2282872d5cdbdb67c7ec509c5f7471e30ade3f14661c","fr","Cinéma et production audiovisuelle.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Domaine volontairement hors portefeuille attendu. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-016","Un cabinet juridique recherche des références en contentieux commercial international et représentation devant les tribunaux.","b7885766d50b2209c7ca5e40ca3b2b7b36a4c829c778c2bd4c9b22654ba0d245","fr","Services juridiques.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Domaine volontairement hors portefeuille attendu. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-017","Un constructeur souhaite concevoir une chaîne d’assemblage de moteurs automobiles et améliorer la maintenance industrielle.","1544e93b8eeb00034830740e355f2e0740eec78a166a50d140d90c0f9198be0a","fr","Industrie automobile.","{}","no_answer","no_answer","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Domaine volontairement hors portefeuille attendu. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-018","An insurance group needs an API management platform with secure exposure, lifecycle governance, CI/CD integration and knowledge transfer.","fce0f43a6e3c2719c55c016c118c2e076448e8fd1cc9c141820c364aa3690479","en","Insurance; API management.","{}","answerable|direct|technology","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Generic opportunity; not copied from a reference. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-019","A government wants a national cloud strategy covering architecture, operating model, governance, economics and data-centre consolidation.","4c258ef2cb939a2f90720f18f8f49872900bcb10247fee454e8c5080f6a9f4cb","en","Public sector; national cloud.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Cross-language French evidence is acceptable. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
"DEV-020","A financial institution needs a cybersecurity maturity assessment, penetration testing and a prioritized remediation roadmap.","63494ab6b7bcda0395d955d1c36d1289bff36293d21757fa06bd1bc05e0e38fe","en","Financial services; cybersecurity.","{}","answerable|direct","answerable","AI-assisted independent commercial scenario design; not copied from reference text","YES","YES","AI-assisted draft; project owner: Abderrahmen","Includes technical and organizational assessment. Approved for development diagnostics only; not an official held-out or gold-set query.","ORIGINAL_WORKBOOK"
