"query_id","blinded_candidate_id","query_text","query_language","business_context","mandatory_filters","candidate_project_title","client","country","period","sector","offering","technologies","evidence_passage_1","evidence_source_1","evidence_page_1","evidence_passage_2","evidence_source_2","evidence_page_2","evidence_language","reviewer_1_relevance","reviewer_1_confidence","reviewer_1_notes","reviewer_2_relevance","reviewer_2_confidence","reviewer_2_notes","adjudicated_relevance","adjudicator_notes"
"DEV-001","DEV-001-C01","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Plan de Continuité d’Activité Expression des besoins de continuité d’activité Analyse des risques majeurs Stratégie de continuité d’activité des métiers et du SI Définition du dispositif de gestion de crise Formalisat…","Banque Nationale Agricole, BNA","Tunisie","2011–2012","Banque","PCA/PCI","","atteste par la présente que la Société DEVOTEAM a réalisé pour notre compte des travaux de cadrage de Plan de Continuité d'Activité, courant [PHONE_LIKE], couvrant: L’expression des Besoins métier ;
- L?analyse des risques conformément à l’ISO 27005 ;
- La définition de la stratégie de continuité de trois ans ;
- La formalisation de dispositif de gestion de crise. Cette étude a été pilotée par Mr Tarek AKROUT.…","BNA_Attestation de Référence_Accompagnement PCA.pdf","1","Cette attestation est délivrée à l’intéressé pour servir et valoir ce que de droit. Tunise :42/06/2012","BNA_Attestation de Référence_Accompagnement PCA.pdf","1","fr","","","","","","","",""
"DEV-001","DEV-001-C02","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Accompagnement dans l’équipement du data center primaire de NSIA Banque CI Phase 1 : Etat de lieux • Définition de la stratégie de consultation • Elaboration l’architecture cible • Dimensionnement de l’infrastructure…","NSIA Banque CI","Côte d’Ivoire","2022","Banque","AMOA","Network","SULTING à l’une de ses obligations sont plafonnés aux sommes effectivement perçues et à percevoir NOLOGY CONSULTING, au titre de la réalisation de la mission. SMETRE D’ INTERVENTION “rion de DEVOTEAM TECHNOLOGY CONSULTING est décrit dans le tableau ci-dessous.…","NSIA Banque .pdf","4","son plan stratégique quinquennal [PHONE_LIKE], NISA Banque CI cherche un cabinet expert qui aura a = = Banque dans le cadre de l’acquisition et la mise en opération des équipements informatiques du on au sein du nouveau siège de NSIA Banque CI sis à Cocody-Mermoz, tout en garantissant la = La fiabilité et l'intégrité de ses données. æ'2 été initié un projet d'accompagnement au sein de NSIA Banque CI.…","NSIA Banque .pdf","2","fr","","","","","","","",""
"DEV-001","DEV-001-C03","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Etude pour le projet data center and cloud for AFRICA Phase 1 : l'étude de faisabilité Mener une analyse de l'environnement africain et identifier les facteurs clés pour attirer et soutenir la mise en œuvre des centre…","Smart Africa Alliance","Rwanda","2022","Adm. Pub","Etudes","Cloud; ERP; Network","various stakeholders, possibly in form of a Memorandum of understanding (MoV), Article of Association, Protocol, etc. Assist the Smart Africa Secretariat in preparing Draft Model Letter of Intent, Non-Disclosure Agreement and any other such instruments that may be necessary Assess the environmental and social impact of the Data Centre And Cloud for Africa Project including assessing the environmental issues that need to be addressed for the successful implementation of the project. Clearly indicate measures required for environmental considerations of implementing the Data Centre And Cloud for Africa Project.…","contrat smart africa  (2).pdf","16","Review various feasibility study reports and confirm/revise the assessment of the existing Data Centres and Cloud services in Africa with specific emphasis on the Data Centre and Cloud services needs of the Smart Africa member states and Africa as a whole giving more attention to recent and updated data. Undertake detailed analysis and status review, which should include identifying ongoing and planned Data Centre and Cloud services projects by the Public and Private sectors in Smart Africa member states (Africa) and assess the viability and implementation.…","contrat smart africa  (2).pdf","15","en","","","","","","","",""
"DEV-001","DEV-001-C04","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Mise en place de l’activité gestion des données  Diagnostic de l’existant  Étude des scénarios d’évolution du SI en vue de l’adapter à la digitalisation  Étude des scénarios de choix du système cible  Élaboration…","SUNU Assurance","Côte d’Ivoire","2020–2021","Assurance","API Gateway","API management","atteste par la présente que la société Devoteam a réalisé pour notre compte, le projet : « Mise en place d’une API Gateway et transfert de compétences ». Le projet a été piloté par M. Zied Ben Youssef, expert API Gateway.…","SUNU = Mise en place d'un API Gareway.pdf","1","","","","mixed","","","","","","","",""
"DEV-001","DEV-001-C05","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Projet : Élaboration d’un manuel de procédures • Organiser la mission • Collecter et analyser les informations sur l’organisation et les processus à couvrir • Formaliser les fiches descriptives des processus et du réf…","Attijari Bank","Tunisie","2020","Banque","AMOA","API management; Cloud; COBIT; Core banking; ERP; ITIL; Network","Annexe 4 : CV des intervenants du Prestataire e Slim Chenchah - Directeur de projet & Expert Swift Competences clés Fonctionnelles : Définition de schémas directeurs SI, transformation cioud, urbanisation des SI, conception et + Diplôme : Ingénieur Informatique- ENSI (2006), Certifications:
- Formation ISO 22301 Laad Impiementer : Business Continuity Management System + Formation Pédagogique chez CEGOS implémentation d'architectures techniques, choix de solutions, . Certifié VCP (VMware Certified Professional) Gouvernance des SI de la data, maitrise des plateformes API م سسا و .…","contrat attijari bank .pdf","15","+ Assistanca an choix de ia plateforma dintégratinn
- Assistance à la mise en place de la piateforme d’intégration (intégration entre les canaux et le back office et intégration back »* Cadrage & recueil des arientations stratégiques de là Banque + Analyse état des lieux et Benchmark fonctionnel « Définition des srénarin rihle et mise À niveau de la feuille de route dui Système A'Information + Identifier, planifier et ordonnancer les projets/tâches pour la réalisation du futur SI + Définir la road: + Eisborstion du Elaboration du plan de transformation SI et digitale
* Anaïyser les principaux enjeux et besoins métiers «Dresser un état des lieux de l'existant (cartographie fonctionnelie…","contrat attijari bank .pdf","16","fr","","","","","","","",""
"DEV-001","DEV-001-C06","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Maintien du plan de continuité d’activité des systèmes d’information de GAT ASSURANCES et de ses filiales. PHASE 1 : Lancement et pilotage du projet • Lancer le projet • Cadrer et mener les différents travaux prévus e…","GAT assurances","Tunisie","2022","Assurance","PCA/PCI","","| | 550 )3( قيمة العقد وشروط الدفع أولاً: قيمة الخدمات المُقدمة. اتفق الطرفان على أن تكون التكلفة الإجمالية لتنفيذ الأعمال الواردة في هذا العقد والملحق الفني بقيمة (27,000.00 5) (سبعة وعشرون ألف دولار أمريكي) ‘Luk شروط الدفع. A يجب توافر الشروط التالية لسداد أي دفعة من الدفعات المذكورة في الفقرة (ج):
1.…","Contrat LIA investissement _ IT security Assessement _.pdf","4","التواصل خلالها لتحديد بدايتها Leles . على أنه في حال وجود آي ظرف طارئ. لا يزال الطرف الثاني ملتزماً بتقديم كافة الخدمات المتفق عليها في هذا العقد. كما عليه تعيين بديلاً عنه في حال عدم قدرته على الوفاء بالتزاماته.…","Contrat LIA investissement _ IT security Assessement _.pdf","11","ar","","","","","","","",""
"DEV-001","DEV-001-C07","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","IT security Assessement","Libyan Investment Authority (LIA)","Libye","","Banque","Cyber Security","","| | 550 )3( قيمة العقد وشروط الدفع أولاً: قيمة الخدمات المُقدمة. اتفق الطرفان على أن تكون التكلفة الإجمالية لتنفيذ الأعمال الواردة في هذا العقد والملحق الفني بقيمة (27,000.00 5) (سبعة وعشرون ألف دولار أمريكي) ‘Luk شروط الدفع. A يجب توافر الشروط التالية لسداد أي دفعة من الدفعات المذكورة في الفقرة (ج):
1.…","Contrat LIA investissement _ IT security Assessement _.pdf","4","التواصل خلالها لتحديد بدايتها Leles . على أنه في حال وجود آي ظرف طارئ. لا يزال الطرف الثاني ملتزماً بتقديم كافة الخدمات المتفق عليها في هذا العقد. كما عليه تعيين بديلاً عنه في حال عدم قدرته على الوفاء بالتزاماته.…","Contrat LIA investissement _ IT security Assessement _.pdf","11","ar","","","","","","","",""
"DEV-001","DEV-001-C08","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","SUNU (mise en place d’un service managé par Devoteam pour la gestion de « L’INFRASTRUCTURE SUNU CLOUD SUR AZURE)","SUNU Assurance","Côte d’Ivoire","","Assurance","Cloud","API management; Cloud; Network","sont plafonnés aux sommes effectivement perçues et à percevoir par le Fournisseur, au titre de la réalisation de la mission.

ARTICLE 6 : PERIMETRE D’INTERVENTION Le périmètre d’intervention du groupement DEVOTEAM – SRI est décrit dans le tableau ci-dessous.","Contrat SUNU Migration AZURE SUNU-Assurances-2020-08.pdf","3","ARTICLE 1 : OBJET Le contrat porte sur une mission de mise en place d’une infrastructure Cloud. L’objectif sera donc d’accompagner le groupe","Contrat SUNU Migration AZURE SUNU-Assurances-2020-08.pdf","2","fr","","","","","","","",""
"DEV-001","DEV-001-C09","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","AMOA FMS","Libyan Investment Authority (LIA)","Libye","","Banque","AMOA","","| | 550 )3( قيمة العقد وشروط الدفع أولاً: قيمة الخدمات المُقدمة. اتفق الطرفان على أن تكون التكلفة الإجمالية لتنفيذ الأعمال الواردة في هذا العقد والملحق الفني بقيمة (27,000.00 5) (سبعة وعشرون ألف دولار أمريكي) ‘Luk شروط الدفع. A يجب توافر الشروط التالية لسداد أي دفعة من الدفعات المذكورة في الفقرة (ج):
1.…","Contrat LIA investissement _ IT security Assessement _.pdf","4","التواصل خلالها لتحديد بدايتها Leles . على أنه في حال وجود آي ظرف طارئ. لا يزال الطرف الثاني ملتزماً بتقديم كافة الخدمات المتفق عليها في هذا العقد. كما عليه تعيين بديلاً عنه في حال عدم قدرته على الوفاء بالتزاماته.…","Contrat LIA investissement _ IT security Assessement _.pdf","11","ar","","","","","","","",""
"DEV-001","DEV-001-C10","Une banque régionale cherche à déployer une passerelle API sécurisée, industrialiser la publication des API et transférer les compétences aux équipes internes.","fr","Banque; intégration et API management.","{}","Elaboration du Schéma Directeur SI • Analyser les principaux enjeux et besoins métiers • Dresser un état des lieux de l’existant (cartographie fonctionnelle, process métier, patrimoine applicatif, infrastructure, Gouv…","Banque Tunisienne de Solidarité (BTS)","Tunisie","2018","Banque","SDSI","Network","Central BTS 2480/2018. Date de la Réception: L'an deux mille dix-huit, le mercredi dix-neuf septembre (19/09/2018). Lieu de la Réception : Siège de la BTS (56, avenue Mohamed V 1002 Tunis). Ils étaient présents : Participants BTS Mr Mohamed KAANICHE Directeur Général Mr Khalifa SBOUI Directeur Général Adjoint Mr Sofien ABDELHAK Chef du Département Informatique Participants DEVOTEAM Mr Slim CHENCHAH Chef de Projet Mr Mohamed BEN MESSAOUD Membre de l'Equipe Projet Mme Imen KALLEL Membre de l'Equipe Projet Objet de la Réunion La réunion avait pour objectif de : -__ Lancer le projet d'élaboration du Schéma Directeur du Système d'Information de la Banque.…","PV BTS SDSI 2019 (2).pdf","3","""Banque Tunisienne de Solidarité DEVOTEAM Procès-Verbal de la Réunion de Démarrage Objet : Procès-verbal de la réunion de démarrage. Référence : + Consultation N°8/2018 ""Choix d'un Cabinet pour l'Elaboration d’un Schéma Directeur du Système d'Information de la Banque Tunisienne de Solidarité"".…","PV BTS SDSI 2019 (2).pdf","3","fr","","","","","","","",""
